movie_id,name,year,runtime(min),imdb_rating,meta_score,genre
tt0111161,The Shawshank Redemption,1994,142,9.3,82,Drama
tt0068646,The Godfather,1972,175,9.2,100,"Crime, Drama"
tt0468569,The Dark Knight,2008,152,9.0,84,"Action, Crime, Drama"
tt0108052,Schindler's List,1993,195,9.0,95,"Biography, Drama, History"
tt0071562,The Godfather Part II,1974,202,9.0,90,"Crime, Drama"
tt0050083,12 Angry Men,1957,96 ,9.0,97,"Crime, Drama"
tt0167260,The Lord of the Rings: The Return of the King,2003,201,9.0,94,"Action, Adventure, Drama"
tt0110912,Pulp Fiction,1994,154,8.9,95,"Crime, Drama"
tt1375666,Inception,2010,148,8.8,74,"Action, Adventure, Sci-Fi"
tt0137523,Fight Club,1999,139,8.8,66,Drama
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,"Action, Adventure, Drama"
tt0109830,Forrest Gump,1994,142,8.8,82,"Drama, Romance"
tt0060196,"Il buono, il brutto, il cattivo",1966,161,8.8,90,"Adventure, Western"
tt0167261,The Lord of the Rings: The Two Towers,2002,179,8.8,87,"Action, Adventure, Drama"
tt15097216,Jai Bhim,2021,164,8.8,,"Crime, Drama, Mystery"
tt0816692,Interstellar,2014,169,8.7,74,"Adventure, Drama, Sci-Fi"
tt0099685,GoodFellas,1990,145,8.7,92,"Biography, Crime, Drama"
tt0133093,The Matrix,1999,136,8.7,73,"Action, Sci-Fi"
tt0073486,One Flew Over the Cuckoo's Nest,1975,133,8.7,84,Drama
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,82,"Action, Adventure, Fantasy"
tt0120689,The Green Mile,1999,189,8.6,61,"Crime, Drama, Fantasy"
tt0114369,Se7en,1995,127,8.6,65,"Crime, Drama, Mystery"
tt0102926,The Silence of the Lambs,1991,118,8.6,86,"Crime, Drama, Thriller"
tt0076759,Star Wars,1977,121,8.6,90,"Action, Adventure, Fantasy"
tt0120815,Saving Private Ryan,1998,169,8.6,91,"Drama, War"
tt0245429,Sen to Chihiro no kamikakushi,2001,125,8.6,96,"Animation, Adventure, Family"
tt0103064,Terminator 2: Judgment Day,1991,137,8.6,75,"Action, Sci-Fi"
tt0317248,Cidade de Deus,2002,130,8.6,79,"Crime, Drama"
tt0118799,La vita è bella,1997,116,8.6,59,"Comedy, Drama, Romance"
tt0047478,Shichinin no samurai,1954,207,8.6,98,"Action, Drama"
tt0038650,It's a Wonderful Life,1946,130,8.6,89,"Drama, Family, Fantasy"
tt0056058,Seppuku,1962,133,8.6,85,"Action, Drama, Mystery"
tt6751668,Gisaengchung,2019,132,8.5,96,"Drama, Thriller"
tt0407887,The Departed,2006,151,8.5,85,"Crime, Drama, Thriller"
tt2582802,Whiplash,2014,106,8.5,89,"Drama, Music"
tt0110413,Léon,1994,110,8.5,64,"Action, Crime, Drama"
tt0088763,Back to the Future,1985,116,8.5,87,"Adventure, Comedy, Sci-Fi"
tt0172495,Gladiator,2000,155,8.5,67,"Action, Adventure, Drama"
tt0482571,The Prestige,2006,130,8.5,66,"Drama, Mystery, Sci-Fi"
tt0078748,Alien,1979,117,8.5,89,"Horror, Sci-Fi"
tt0034583,Casablanca,1942,102,8.5,100,"Drama, Romance, War"
tt0110357,The Lion King,1994,88 ,8.5,88,"Animation, Adventure, Drama"
tt0120586,American History X,1998,119,8.5,62,"Crime, Drama"
tt0253474,The Pianist,2002,150,8.5,85,"Biography, Drama, Music"
tt0114814,The Usual Suspects,1995,106,8.5,77,"Crime, Drama, Mystery"
tt0054215,Psycho,1960,109,8.5,97,"Horror, Mystery, Thriller"
tt1675434,Intouchables,2011,112,8.5,57,"Biography, Comedy, Drama"
tt0064116,C'era una volta il West,1968,165,8.5,82,Western
tt0095327,Hotaru no haka,1988,89 ,8.5,94,"Animation, Drama, War"
tt0047396,Rear Window,1954,112,8.5,100,"Mystery, Thriller"
tt0095765,Nuovo Cinema Paradiso,1988,155,8.5,80,"Drama, Romance"
tt0027977,Modern Times,1936,87 ,8.5,96,"Comedy, Drama, Romance"
tt0021749,City Lights,1931,87 ,8.5,99,"Comedy, Drama, Romance"
tt4633694,Spider-Man: Into the Spider-Verse,2018,117,8.4,87,"Animation, Action, Adventure"
tt4154796,Avengers: Endgame,2019,181,8.4,78,"Action, Adventure, Drama"
tt0082971,Raiders of the Lost Ark,1981,115,8.4,85,"Action, Adventure"
tt4154756,Avengers: Infinity War,2018,149,8.4,68,"Action, Adventure, Sci-Fi"
tt0081505,The Shining,1980,146,8.4,66,"Drama, Horror"
tt7286456,Joker,I 2019,122,8.4,59,"Crime, Drama, Thriller"
tt1853728,Django Unchained,2012,165,8.4,81,"Drama, Western"
tt0364569,Oldeuboi,2003,120,8.4,77,"Action, Drama, Mystery"
tt0078788,Apocalypse Now,1979,147,8.4,94,"Drama, Mystery, War"
tt0209144,Memento,2000,113,8.4,81,"Mystery, Thriller"
tt1345836,The Dark Knight Rises,2012,164,8.4,78,"Action, Drama, Thriller"
tt0091251,Idi i smotri,1985,142,8.4,,"Drama, Thriller, War"
tt0090605,Aliens,1986,137,8.4,84,"Action, Adventure, Sci-Fi"
tt5311514,Kimi no na wa.,2016,106,8.4,79,"Animation, Drama, Fantasy"
tt2380307,Coco,I 2017,105,8.4,81,"Animation, Adventure, Comedy"
tt0910970,WALL·E,2008,98 ,8.4,95,"Animation, Adventure, Family"
tt0086879,Amadeus,1984,160,8.4,88,"Biography, Drama, Music"
tt0405094,Das Leben der Anderen,2006,137,8.4,89,"Drama, Mystery, Thriller"
tt8267604,Capharnaüm,2018,126,8.4,75,Drama
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95 ,8.4,97,"Comedy, War"
tt0082096,Das Boot,1981,149,8.4,86,"Drama, War"
tt0043014,Sunset Blvd.,1950,110,8.4,94,"Drama, Film-Noir"
tt1187043,3 Idiots,2009,170,8.4,67,"Comedy, Drama"
tt0051201,Witness for the Prosecution,1957,116,8.4,76,"Crime, Drama, Mystery"
tt0050825,Paths of Glory,1957,88 ,8.4,90,"Drama, War"
tt0032553,The Great Dictator,1940,125,8.4,,"Comedy, Drama, War"
tt0057565,Tengoku to jigoku,1963,143,8.4,90,"Crime, Drama, Mystery"
tt1745960,Top Gun: Maverick,2022,130,8.3,78,"Action, Drama"
tt0113277,Heat,1995,170,8.3,76,"Action, Crime, Drama"
tt0119217,Good Will Hunting,1997,126,8.3,70,"Drama, Romance"
tt0361748,Inglourious Basterds,2009,153,8.3,69,"Adventure, Drama, War"
tt0169547,American Beauty,1999,122,8.3,84,Drama
tt0180093,Requiem for a Dream,2000,102,8.3,71,Drama
tt0112573,Braveheart,1995,178,8.3,68,"Biography, Drama, History"
tt0086250,Scarface,1983,170,8.3,65,"Crime, Drama"
tt0087843,Once Upon a Time in America,1984,229,8.3,75,"Crime, Drama"
tt0062622,2001: A Space Odyssey,1968,149,8.3,84,"Adventure, Sci-Fi"
tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,58,"Action, Adventure, Fantasy"
tt0066921,A Clockwork Orange,1971,136,8.3,77,"Crime, Sci-Fi"
tt0338013,Eternal Sunshine of the Spotless Mind,2004,108,8.3,89,"Drama, Romance, Sci-Fi"
tt2106476,Jagten,2012,115,8.3,77,Drama
tt1255953,Incendies,2010,131,8.3,80,"Drama, Mystery"
tt0093058,Full Metal Jacket,1987,116,8.3,78,"Drama, War"
tt0114709,Toy Story,1995,81 ,8.3,96,"Animation, Adventure, Comedy"
tt0105236,Reservoir Dogs,1992,99 ,8.3,81,"Crime, Thriller"
tt8503618,Hamilton,2020,160,8.3,89,"Biography, Drama, History"
tt1049413,Up,2009,96 ,8.3,88,"Animation, Adventure, Comedy"
tt0211915,Le fabuleux destin d'Amélie Poulain,2001,122,8.3,69,"Comedy, Romance"
tt0056172,Lawrence of Arabia,1962,218,8.3,100,"Adventure, Biography, Drama"
tt0119698,Mononoke-hime,1997,134,8.3,76,"Animation, Action, Adventure"
tt0435761,Toy Story 3,2010,103,8.3,92,"Animation, Adventure, Comedy"
tt0052357,Vertigo,1958,128,8.3,100,"Mystery, Romance, Thriller"
tt0056592,To Kill a Mockingbird,1962,129,8.3,88,"Crime, Drama"
tt0033467,Citizen Kane,1941,119,8.3,100,"Drama, Mystery"
tt0053125,North by Northwest,1959,136,8.3,98,"Action, Adventure, Mystery"
tt0017136,Metropolis,1927,153,8.3,98,"Drama, Sci-Fi"
